Document Text,year,location
"
History



Acts 1989, No. 849, § 3; 1989, No. 934, § 3; 1991, No. 755, § 1; 1993, No. 1127, § 3; 1995, No. 511, § 1; 1999, No. 1164, § 69; 2011, No. 819, § 2; 2019, No. 910, §§ 2625­2627; 2021, No. 74, §§ 3, 4.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1989,Arkansas
"
History



Acts 2007, No. 641, § 1; 2023, No. 697, § 9.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2007,Arkansas
"
History



Acts 1981, No. 53, § 7; A.S.A. 1947, § 13-2407.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1981,Arkansas
"
History



Acts 1975, No. 398, §§ 1, 2; A.S.A. 1947, §§ 80-3149, 80-3150.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1975,Arkansas
"Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1983,Arkansas
"
History



Acts 1935, No. 324, § 59; Pope's Dig., § 2119; Acts 1973, No. 410, § 1; 1981, No. 709, § 1; A.S.A. 1947, § 73-255; Acts 2015, No. 899, § 2.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1935,Arkansas
"
History



Acts 1939, No. 105, § 4; A.S.A. 1947, § 53-104; Acts 2001, No. 1189, § 1; 2019, No. 910, § 3171.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1939,Arkansas
"
History



Acts 2009, No. 1494, § 1; 2019, No. 674, § 2.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2009,Arkansas
"
History



Acts 1983, No. 441, § 2; A.S.A. 1947, § 19-6002; Acts 2021, No. 903, §§ 2, 3.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1983,Arkansas
"
History



Acts 2009, No. 950, § 2; 2013, No. 1233, §§ 1, 2; 2023, No. 805, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2009,Arkansas
"
History



Acts 2009, No. 1494, § 1; 2011, No. 803, §§ 2-4; 2019, No. 674, §§ 4-6.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2009,Arkansas
"
History



Acts 2021, No. 694, § 1; 2023, No. 717, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2021,Arkansas
